coder,response_uuid,child_hashed_id,frame_id,videoShown,audioPlayed,frame_duration_stimuli,frame_duration_respond,frame_duration_transcribe,event0_timestamp,parent_transcription,response_video_file,session_order,trial_num,trial_type,testtrial_type,stimulus_set,stimulus_subject,stimulus_verb,stimulus_object,stimulus_distractor,stimulus_targetutterance,stimulus_condition,informative_entities,uninformative_entities,response_exact_utterance,response_attempted_target,response_included_subject,response_included_verb,response_included_object,response_included_distractor,response_included_informative,response_included_uninformative,include_trial,exclusion_reason,notes_trial
sienna/lia,0813addf-35ee-4108-93e6-b35bd2d46c6e,B2JDAG,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_baby_milk_juice.webm,,,,,,uh oh,,Order_1,7,test_trial,agentpatient,ap_drink,baby,drink,milk,juice,The baby drank the milk,patient_ambig,DRINK MILK ,BABY JUICE,SEE; UH OH,n,n,n,n,n,n,n,y,,
sienna/lia,0813addf-35ee-4108-93e6-b35bd2d46c6e,B2JDAG,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_cat_dog_banana.webm,,,,,,uh oh,,Order_1,8,test_trial,agentpatient,ap_eat,cat,eat,banana,dog,The cat ate the banana,agent_ambig,CAT EAT,BANANA DOG,unintelligible; UH OH,n,n,n,n,n,n,n,y,,
sienna/lia,a2b16e10-f767-4118-8f66-c91f49adae25,UDCJV6,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_bunny.png,,,,,,meme,,Order_1,1,train_1,NA,train_bunny,bunny,NA,NA,NA,It is a bunny,NA,BUNNY,NA,"YA unintelligible [mom says, ""Bunny, say bunny.""] unintelligible",n,n,NA,NA,NA,n,n,y,,
sienna/lia,a2b16e10-f767-4118-8f66-c91f49adae25,UDCJV6,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_car_red.png,,,,,,row,,Order_1,2,train_2,NA,train_car,car,NA,NA,NA,It is a car,NA,CAR,NA,[points as screen] ROW,n,n,NA,NA,NA,n,n,y,,
sienna/lia,a2b16e10-f767-4118-8f66-c91f49adae25,UDCJV6,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_duck_ball_new.webm,,,,,,nothing,,Order_1,3,test_trial,commonground,cg_duck,duck,bounce,ball,lake,The ball bounced by the lake,commonground,BALL BOUNCE,DUCK LAKE,[points at screen],n,n,n,n,n,n,n,y,,
sienna/lia,a2b16e10-f767-4118-8f66-c91f49adae25,UDCJV6,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_bird_baby_juice.webm,,,,,,"nothing, ""yeah""",,Order_1,4,test_trial,agentpatient,ap_drink,bird,drink,juice,baby,The bird drank the juice,agent_ambig,BIRD DRINK,JUICE BABY,[points at screen] YA [points at screen] YA,n,n,n,n,n,n,n,y,,
sienna/lia,a2b16e10-f767-4118-8f66-c91f49adae25,UDCJV6,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_dog_apple_banana.webm,,,,,,daddy,,Order_1,5,test_trial,agentpatient,ap_eat,dog,eat,apple,banana,The dog ate the apple,patient_ambig,EAT APPLE ,DOG BANANA,[points at screen] unintelligible,n,n,n,n,n,n,n,y,,
sienna/lia,a2b16e10-f767-4118-8f66-c91f49adae25,UDCJV6,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_bear_shoes_new.webm,,,,,,nothing,,Order_1,6,test_trial,commonground,cg_bear,bear,put-on,shoes,room,The bear put on the shoes,commonground,PUT-ON SHOES ,BEAR ROOM,[points at screen] unintelligible,n,n,n,n,n,n,n,y,,
sienna/lia,a2b16e10-f767-4118-8f66-c91f49adae25,UDCJV6,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_baby_milk_juice.webm,,,,,,nothing,,Order_1,7,test_trial,agentpatient,ap_drink,baby,drink,milk,juice,The baby drank the milk,patient_ambig,DRINK MILK ,BABY JUICE,[points at screen] [shakes head no],n,n,n,n,n,n,n,y,,
sienna/lia,a2b16e10-f767-4118-8f66-c91f49adae25,UDCJV6,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_cat_dog_banana.webm,,,,,,mommy,,Order_1,8,test_trial,agentpatient,ap_eat,cat,eat,banana,dog,The cat ate the banana,agent_ambig,CAT EAT,BANANA DOG,[points at screen] MOMMY,n,n,n,n,n,n,n,y,,
sienna/lia,0a54916c-eaaa-4e22-ac23-d3171494e32b,W6NUB3,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_bunny.png,,,,,,da,,Order_1,1,train_1,NA,train_bunny,bunny,NA,NA,NA,It is a bunny,NA,BUNNY,NA,unintelligible [mom says it's a bunny],n,n,NA,NA,NA,n,n,y,,
sienna/lia,0a54916c-eaaa-4e22-ac23-d3171494e32b,W6NUB3,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_car_red.png,,,,,,da,,Order_1,2,train_2,NA,train_car,car,NA,NA,NA,It is a car,NA,CAR,NA,unintelligible [mom says it's a car],n,n,NA,NA,NA,n,n,y,,
sienna/lia,0a54916c-eaaa-4e22-ac23-d3171494e32b,W6NUB3,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_duck_ball_new.webm,,,,,,duh na ba da,,Order_1,3,test_trial,commonground,cg_duck,duck,bounce,ball,lake,The ball bounced by the lake,commonground,BALL BOUNCE,DUCK LAKE,unintelligible,n,n,n,n,n,n,n,y,,
sienna/lia,0a54916c-eaaa-4e22-ac23-d3171494e32b,W6NUB3,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_bird_baby_juice.webm,,,,,,da mm bah da mm aaa bah,,Order_1,4,test_trial,agentpatient,ap_drink,bird,drink,juice,baby,The bird drank the juice,agent_ambig,BIRD DRINK,JUICE BABY,unintelligible,n,n,n,n,n,n,n,y,,
sienna/lia,0a54916c-eaaa-4e22-ac23-d3171494e32b,W6NUB3,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_dog_apple_banana.webm,,,,,,da buh na na da ada nnn ada,,Order_1,5,test_trial,agentpatient,ap_eat,dog,eat,apple,banana,The dog ate the apple,patient_ambig,EAT APPLE ,DOG BANANA,unintelligible,n,n,n,n,n,n,n,y,,
sienna/lia,0a54916c-eaaa-4e22-ac23-d3171494e32b,W6NUB3,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_bear_shoes_new.webm,,,,,,buh aaaaa buh bah muh aaaaa ,,Order_1,6,test_trial,commonground,cg_bear,bear,put-on,shoes,room,The bear put on the shoes,commonground,PUT-ON SHOES ,BEAR ROOM,unintelligible,n,n,n,n,n,n,n,y,,
sienna/lia,0a54916c-eaaa-4e22-ac23-d3171494e32b,W6NUB3,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_baby_milk_juice.webm,,,,,,uh muh da uh daaaa ,,Order_1,7,test_trial,agentpatient,ap_drink,baby,drink,milk,juice,The baby drank the milk,patient_ambig,DRINK MILK ,BABY JUICE,unintelligible,n,n,n,n,n,n,n,y,,
sienna/lia,0a54916c-eaaa-4e22-ac23-d3171494e32b,W6NUB3,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_cat_dog_banana.webm,,,,,,da da da uh da da ada,,Order_1,8,test_trial,agentpatient,ap_eat,cat,eat,banana,dog,The cat ate the banana,agent_ambig,CAT EAT,BANANA DOG,unintelligible,n,n,n,n,n,n,n,y,,
sienna/lia,010130f1-7660-4825-a327-36854141c328,cSWdcH,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_bunny.png,,,,,,hi,,Order_1,1,train_1,NA,train_bunny,bunny,NA,NA,NA,It is a bunny,NA,BUNNY,NA,HI [waves at screen],n,n,NA,NA,NA,n,n,y,,
sienna/lia,010130f1-7660-4825-a327-36854141c328,cSWdcH,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_car_red.png,,,,,,car,,Order_1,2,train_2,NA,train_car,car,NA,NA,NA,It is a car,NA,CAR,NA,[points at screen] CAR,y,y,NA,NA,NA,y,n,y,,
sienna/lia,010130f1-7660-4825-a327-36854141c328,cSWdcH,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_duck_ball_new.webm,,,,,,gibberish,,Order_1,3,test_trial,commonground,cg_duck,duck,bounce,ball,lake,The ball bounced by the lake,commonground,BALL BOUNCE,DUCK LAKE,unintelligible,n,n,n,n,n,n,n,y,,
sienna/lia,010130f1-7660-4825-a327-36854141c328,cSWdcH,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_bird_baby_juice.webm,,,,,,gibberish,,Order_1,4,test_trial,agentpatient,ap_drink,bird,drink,juice,baby,The bird drank the juice,agent_ambig,BIRD DRINK,JUICE BABY,unintelligible,n,n,n,n,n,n,n,y,,
sienna/lia,010130f1-7660-4825-a327-36854141c328,cSWdcH,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_dog_apple_banana.webm,,,,,,nothing,,Order_1,5,test_trial,agentpatient,ap_eat,dog,eat,apple,banana,The dog ate the apple,patient_ambig,EAT APPLE ,DOG BANANA,BABY; BABA [points at screen],n,n,n,n,n,n,n,y,,
sienna/lia,010130f1-7660-4825-a327-36854141c328,cSWdcH,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_bear_shoes_new.webm,,,,,,bear,,Order_1,6,test_trial,commonground,cg_bear,bear,put-on,shoes,room,The bear put on the shoes,commonground,PUT-ON SHOES ,BEAR ROOM,unintelligible,n,n,n,n,n,n,n,y,,
sienna/lia,010130f1-7660-4825-a327-36854141c328,cSWdcH,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_baby_milk_juice.webm,,,,,,apple,,Order_1,7,test_trial,agentpatient,ap_drink,baby,drink,milk,juice,The baby drank the milk,patient_ambig,DRINK MILK ,BABY JUICE,APPLE X3,n,n,n,n,n,n,n,y,,
sienna/lia,010130f1-7660-4825-a327-36854141c328,cSWdcH,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_cat_dog_banana.webm,,,,,,byebye dog,,Order_1,8,test_trial,agentpatient,ap_eat,cat,eat,banana,dog,The cat ate the banana,agent_ambig,CAT EAT,BANANA DOG,BYE BYE DOG,n,n,n,n,y,n,y,y,,
sienna/lia,72c1530d-f4a1-49e9-8784-7939a9476bad,ZQcYXT,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_bunny.png,,,,,,"""nothing""",,Order_1,,train_1,NA,train_bunny,bunny,NA,NA,NA,It is a bunny,NA,BUNNY,NA,[NA],n,n,NA,NA,NA,n,n,y,,
sienna/lia,72c1530d-f4a1-49e9-8784-7939a9476bad,ZQcYXT,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_car_red.png,,,,,,"""nothing""",,Order_1,,train_2,NA,train_car,car,NA,NA,NA,It is a car,NA,CAR,NA,[NA],n,n,NA,NA,NA,n,n,y,,
sienna/lia,72c1530d-f4a1-49e9-8784-7939a9476bad,ZQcYXT,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_duck_ball_new.webm,,,,,,"""iiihh""",,Order_1,,test_trial,commonground,cg_duck,duck,bounce,ball,lake,The ball bounced by the lake,commonground,BALL BOUNCE,DUCK LAKE,[NA],n,n,n,n,n,n,n,y,,
sienna/lia,72c1530d-f4a1-49e9-8784-7939a9476bad,ZQcYXT,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_bird_baby_juice.webm,,,,,,"""nothing"" but pointed to screen ",,Order_1,,test_trial,agentpatient,ap_drink,bird,drink,juice,baby,The bird drank the juice,agent_ambig,BIRD DRINK,JUICE BABY,[points at screen],n,n,n,n,n,n,n,y,,
sienna/lia,72c1530d-f4a1-49e9-8784-7939a9476bad,ZQcYXT,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_dog_apple_banana.webm,,,,,,dah bah bah,,Order_1,,test_trial,agentpatient,ap_eat,dog,eat,apple,banana,The dog ate the apple,patient_ambig,EAT APPLE ,DOG BANANA,[points at screen] unintelligible,n,n,n,n,n,n,n,y,,
sienna/lia,72c1530d-f4a1-49e9-8784-7939a9476bad,ZQcYXT,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_bear_shoes_new.webm,,,,,,wah oihh oihh,,Order_1,,test_trial,commonground,cg_bear,bear,put-on,shoes,room,The bear put on the shoes,commonground,PUT-ON SHOES ,BEAR ROOM,[points at screen] unintelligible,n,n,n,n,n,n,n,y,,
sienna/lia,72c1530d-f4a1-49e9-8784-7939a9476bad,ZQcYXT,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_baby_milk_juice.webm,,,,,,babbled only vowel sounds,,Order_1,,test_trial,agentpatient,ap_drink,baby,drink,milk,juice,The baby drank the milk,patient_ambig,DRINK MILK ,BABY JUICE,[points at screen],n,n,n,n,n,n,n,y,,
sienna/lia,72c1530d-f4a1-49e9-8784-7939a9476bad,ZQcYXT,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_cat_dog_banana.webm,,,,,,duh dah dah dah dah dat,,Order_1,,test_trial,agentpatient,ap_eat,cat,eat,banana,dog,The cat ate the banana,agent_ambig,CAT EAT,BANANA DOG,[points at screen] unintelligible,n,n,n,n,n,n,n,y,,
sienna/lia,c6642e4a-fabf-4d8a-afa3-b87b7084ed7b,c67FW6,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_bunny.png,,,,,,nothing,,Order_1,1,train_1,NA,train_bunny,bunny,NA,NA,NA,It is a bunny,NA,BUNNY,NA,unintelligible,n,n,NA,NA,NA,n,n,y,,
sienna/lia,c6642e4a-fabf-4d8a-afa3-b87b7084ed7b,c67FW6,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_car_red.png,,,,,,nothing,,Order_1,2,train_2,NA,train_car,car,NA,NA,NA,It is a car,NA,CAR,NA,[NA],n,n,NA,NA,NA,n,n,y,,
sienna/lia,c6642e4a-fabf-4d8a-afa3-b87b7084ed7b,c67FW6,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_duck_ball_new.webm,,,,,,nothing,,Order_1,3,test_trial,commonground,cg_duck,duck,bounce,ball,lake,The ball bounced by the lake,commonground,BALL BOUNCE,DUCK LAKE,[NA],n,n,n,n,n,n,n,y,,
sienna/lia,c6642e4a-fabf-4d8a-afa3-b87b7084ed7b,c67FW6,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_bird_baby_juice.webm,,,,,,nothing,,Order_1,4,test_trial,agentpatient,ap_drink,bird,drink,juice,baby,The bird drank the juice,agent_ambig,BIRD DRINK,JUICE BABY,[NA],n,n,n,n,n,n,n,y,,
sienna/lia,c6642e4a-fabf-4d8a-afa3-b87b7084ed7b,c67FW6,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_dog_apple_banana.webm,,,,,,nothing,,Order_1,5,test_trial,agentpatient,ap_eat,dog,eat,apple,banana,The dog ate the apple,patient_ambig,EAT APPLE ,DOG BANANA,[fussy],n,n,n,n,n,n,n,n,fussy,
sienna/lia,c6642e4a-fabf-4d8a-afa3-b87b7084ed7b,c67FW6,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_bear_shoes_new.webm,,,,,,nothing,,Order_1,6,test_trial,commonground,cg_bear,bear,put-on,shoes,room,The bear put on the shoes,commonground,PUT-ON SHOES ,BEAR ROOM,[fussy],n,n,n,n,n,n,n,n,fussy,
sienna/lia,c6642e4a-fabf-4d8a-afa3-b87b7084ed7b,c67FW6,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_baby_milk_juice.webm,,,,,,nothing,,Order_1,7,test_trial,agentpatient,ap_drink,baby,drink,milk,juice,The baby drank the milk,patient_ambig,DRINK MILK ,BABY JUICE,[NA],n,n,n,n,n,n,n,y,,
sienna/lia,c6642e4a-fabf-4d8a-afa3-b87b7084ed7b,c67FW6,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_cat_dog_banana.webm,,,,,,nothing,,Order_1,8,test_trial,agentpatient,ap_eat,cat,eat,banana,dog,The cat ate the banana,agent_ambig,CAT EAT,BANANA DOG,[fussy],n,n,n,n,n,n,n,n,fussy,
sienna/lia,fb1c9290-9050-4114-b4e4-d73bad2fb887,U6N3dX,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_bunny.png,,,,,,nothing,,Order_1,1,train_1,NA,train_bunny,bunny,NA,NA,NA,It is a bunny,NA,BUNNY,NA,[NA],n,n,NA,NA,NA,n,n,y,,
sienna/lia,fb1c9290-9050-4114-b4e4-d73bad2fb887,U6N3dX,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_car_red.png,,,,,,nothing,,Order_1,2,train_2,NA,train_car,car,NA,NA,NA,It is a car,NA,CAR,NA,[NA],n,n,NA,NA,NA,n,n,y,,
sienna/lia,fb1c9290-9050-4114-b4e4-d73bad2fb887,U6N3dX,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_duck_ball_new.webm,,,,,,nothing,,Order_1,3,test_trial,commonground,cg_duck,duck,bounce,ball,lake,The ball bounced by the lake,commonground,BALL BOUNCE,DUCK LAKE,[NA],n,n,n,n,n,n,n,y,,
sienna/lia,fb1c9290-9050-4114-b4e4-d73bad2fb887,U6N3dX,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_bird_baby_juice.webm,,,,,,nothing,,Order_1,4,test_trial,agentpatient,ap_drink,bird,drink,juice,baby,The bird drank the juice,agent_ambig,BIRD DRINK,JUICE BABY,unintelligible,n,n,n,n,n,n,n,y,,
sienna/lia,fb1c9290-9050-4114-b4e4-d73bad2fb887,U6N3dX,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_dog_apple_banana.webm,,,,,,nothing,,Order_1,5,test_trial,agentpatient,ap_eat,dog,eat,apple,banana,The dog ate the apple,patient_ambig,EAT APPLE ,DOG BANANA,unintelligible,n,n,n,n,n,n,n,y,,
sienna/lia,fb1c9290-9050-4114-b4e4-d73bad2fb887,U6N3dX,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_bear_shoes_new.webm,,,,,,nothing,,Order_1,6,test_trial,commonground,cg_bear,bear,put-on,shoes,room,The bear put on the shoes,commonground,PUT-ON SHOES ,BEAR ROOM,unintelligible,n,n,n,n,n,n,n,y,,
sienna/lia,fb1c9290-9050-4114-b4e4-d73bad2fb887,U6N3dX,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_baby_milk_juice.webm,,,,,,nothing,,Order_1,7,test_trial,agentpatient,ap_drink,baby,drink,milk,juice,The baby drank the milk,patient_ambig,DRINK MILK ,BABY JUICE,[NA],n,n,n,n,n,n,n,y,,
sienna/lia,fb1c9290-9050-4114-b4e4-d73bad2fb887,U6N3dX,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_cat_dog_banana.webm,,,,,,nothing,,Order_1,8,test_trial,agentpatient,ap_eat,cat,eat,banana,dog,The cat ate the banana,agent_ambig,CAT EAT,BANANA DOG,[claps],n,n,n,n,n,n,n,y,,
sienna/lia,328a23ed-c1e3-4fab-9e6b-e82d18f1a8b5,BS454Y,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_bunny.png,,,,,,nothing,,Order_1,1,train_1,NA,train_bunny,bunny,NA,NA,NA,It is a bunny,NA,BUNNY,NA,unintelligible BUBUBU,n,n,NA,NA,NA,n,n,y,,
sienna/lia,328a23ed-c1e3-4fab-9e6b-e82d18f1a8b5,BS454Y,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_car_red.png,,,,,,nothing,,Order_1,2,train_2,NA,train_car,car,NA,NA,NA,It is a car,NA,CAR,NA,unintelligible,n,n,NA,NA,NA,n,n,y,,
sienna/lia,328a23ed-c1e3-4fab-9e6b-e82d18f1a8b5,BS454Y,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_duck_ball_new.webm,,,,,,nothing,,Order_1,3,test_trial,commonground,cg_duck,duck,bounce,ball,lake,The ball bounced by the lake,commonground,BALL BOUNCE,DUCK LAKE,[NA],n,n,n,n,n,n,n,y,,
sienna/lia,328a23ed-c1e3-4fab-9e6b-e82d18f1a8b5,BS454Y,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_bird_baby_juice.webm,,,,,,nothing,,Order_1,4,test_trial,agentpatient,ap_drink,bird,drink,juice,baby,The bird drank the juice,agent_ambig,BIRD DRINK,JUICE BABY,[NA],n,n,n,n,n,n,n,y,,
sienna/lia,328a23ed-c1e3-4fab-9e6b-e82d18f1a8b5,BS454Y,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_dog_apple_banana.webm,,,,,,"child provided ASL sign for ""all done"" but did not say any words",,Order_1,5,test_trial,agentpatient,ap_eat,dog,eat,apple,banana,The dog ate the apple,patient_ambig,EAT APPLE ,DOG BANANA,[NA],n,n,n,n,n,n,n,y,,
sienna/lia,328a23ed-c1e3-4fab-9e6b-e82d18f1a8b5,BS454Y,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_bear_shoes_new.webm,,,,,,"child provided ASL sign for ""all done"" but did not say any words",,Order_1,6,test_trial,commonground,cg_bear,bear,put-on,shoes,room,The bear put on the shoes,commonground,PUT-ON SHOES ,BEAR ROOM,[NA],n,n,n,n,n,n,n,y,,
sienna/lia,328a23ed-c1e3-4fab-9e6b-e82d18f1a8b5,BS454Y,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_baby_milk_juice.webm,,,,,,nothing,,Order_1,7,test_trial,agentpatient,ap_drink,baby,drink,milk,juice,The baby drank the milk,patient_ambig,DRINK MILK ,BABY JUICE,[NA],n,n,n,n,n,n,n,y,,
sienna/lia,328a23ed-c1e3-4fab-9e6b-e82d18f1a8b5,BS454Y,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_cat_dog_banana.webm,,,,,,nothing,,Order_1,8,test_trial,agentpatient,ap_eat,cat,eat,banana,dog,The cat ate the banana,agent_ambig,CAT EAT,BANANA DOG,unintelligible,n,n,n,n,n,n,n,y,,
,,,,,,,,,,,,Order_1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Order_1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Order_1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Order_1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Order_1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Order_1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Order_1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Order_1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Order_1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Order_1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Order_1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Order_1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Order_1,,,,,,,,,,,,,,,,,,,,,,,